coachID,year,tmID,franchID,confID,won_coy,won_coach,lost_coach,win_percentage,total_games,stint,post_wins,post_losses,playoff_games,playoff_win_pct,made_playoffs,rank,confW,confL,conference_win_pct,homeW,homeL,home_win_pct,awayW,awayL,away_win_pct,home_advantage,o_pts,d_pts,point_differential,offensive_efficiency,defensive_efficiency,GP,attend,playoff,firstRound,semis,finals,prev_year_wins,prev_year_win_pct,win_improvement,win_pct_improvement,team_prev_wins,team_win_improvement
adamsmi01w,5,WAS,WAS,EA,0,17,17,0.5,34,0,1,2,3,0.3333333333333333,1,4,9,11,0.45,11,6,0.6470588235294118,6,11,0.35294117647058826,5,2325,2384,-59,68.38235294117646,70.11764705882354,34,214448,Y,L,,,,,,,9.0,8.0
adubari99w,1,NYL,NYL,EA,0,20,12,0.625,32,0,4,3,7,0.5714285714285714,1,1,14,7,0.6666666666666666,12,4,0.75,8,8,0.5,4,2148,2035,113,67.125,63.59375,32,231962,Y,W,W,L,,,,,,
adubari99w,2,NYL,NYL,EA,0,21,11,0.65625,32,0,3,3,6,0.5,1,2,13,8,0.6190476190476191,13,3,0.8125,8,8,0.5,5,2162,2082,80,67.5625,65.0625,32,250565,Y,W,L,,20.0,0.625,1.0,0.03125,20.0,1.0
adubari99w,3,NYL,NYL,EA,0,18,14,0.5625,32,0,4,4,8,0.5,1,1,11,10,0.5238095238095238,10,6,0.625,8,8,0.5,2,2089,2015,74,65.28125,62.96875,32,234717,Y,W,W,L,21.0,0.65625,-3.0,-0.09375,21.0,-3.0
adubari99w,4,NYL,NYL,EA,0,16,18,0.47058823529411764,34,0,0,0,0,0.0,0,6,11,13,0.4583333333333333,11,6,0.6470588235294118,5,12,0.29411764705882354,6,2243,2256,-13,65.97058823529412,66.3529411764706,34,212346,N,,,,18.0,0.5625,-2.0,-0.09191176470588236,18.0,-2.0
adubari99w,5,NYL,NYL,EA,0,7,9,0.4375,16,1,0,0,0,0.0,1,2,10,10,0.5,11,6,0.6470588235294118,7,10,0.4117647058823529,4,2252,2297,-45,66.23529411764706,67.55882352941177,34,168062,Y,W,L,,16.0,0.47058823529411764,-9.0,-0.03308823529411764,16.0,-9.0
adubari99w,6,WAS,WAS,EA,0,16,18,0.47058823529411764,34,0,0,0,0,0.0,0,5,9,11,0.45,10,7,0.5882352941176471,6,11,0.35294117647058826,4,2263,2305,-42,66.55882352941177,67.79411764705883,34,171501,N,,,,,,,,17.0,-1.0
adubari99w,7,WAS,WAS,EA,0,18,16,0.5294117647058824,34,0,0,2,2,0.0,1,4,12,8,0.6,13,4,0.7647058823529411,5,12,0.29411764705882354,8,2747,2657,90,80.79411764705883,78.1470588235294,34,133255,Y,L,,,16.0,0.47058823529411764,2.0,0.05882352941176472,16.0,2.0
adubari99w,8,WAS,WAS,EA,0,0,4,0.0,4,1,0,0,0,0.0,0,5,8,12,0.4,8,9,0.47058823529411764,8,9,0.47058823529411764,0,2585,2639,-54,76.02941176470588,77.61764705882354,34,133255,N,,,,18.0,0.5294117647058824,-18.0,-0.5294117647058824,18.0,-18.0
aglerbr99w,1,MIN,MIN,WE,0,15,17,0.46875,32,0,0,0,0,0.0,0,6,5,16,0.23809523809523808,8,8,0.5,7,9,0.4375,1,2193,2188,5,68.53125,68.375,32,116638,N,,,,,,,,,
