tmID,year,rank,franchID,confID,player_awards,net_rating,off_eff,def_eff,home_win_pct,away_win_pct,reb_dif,conf_win_pct,ast_dif,blk_dif,pf_dif,coach_awards,efg_pct,win_pct,pts_per_poss,ts_pct,eff_x_pace,net_four_factors,pyth_wins
ATL,9,7,ATL,EA,0,-10.147058823529411,1.1222320637732506,1.277284826974268,0.058823529411764705,0.17647058823529413,-188,0.1,-192,8,70,0,0.45769338173694496,0.11764705882352941,0.9327149587750295,0.4916569654637175,-12.363184974187629,-0.035973035807008946,0.1448563304593772
ATL,10,2,ATL,EA,1,1.8823529411764706,1.17833607907743,1.1836648328396107,0.7058823529411765,0.35294117647058826,85,0.45454545454545453,-68,-12,41,1,0.4981726173741917,0.5294117647058824,1.0115431176883218,0.5182595464096805,-0.44477766060798407,0.010384392958626032,0.5780313431970394
CHA,1,8,CHA,EA,0,-7.59375,1.1487125591171834,1.2585492227979274,0.3125,0.1875,-55,0.23809523809523808,-45,-33,117,0,0.479413817166783,0.25,0.9698465566099346,0.5067504914506138,-7.731820135809555,-0.021990510713127742,0.18752071787809962
CHA,2,4,CHA,EA,0,1.4375,1.154494382022472,1.0882990249187432,0.6875,0.4375,37,0.7142857142857143,24,-10,26,0,0.4784356725146199,0.5625,0.9831467124722134,0.5106046752007634,4.342680207433026,0.005764983299082482,0.5780821064056326
CHA,3,2,CHA,EA,0,3.375,1.2519553072625698,1.1804095185390149,0.6875,0.4375,40,0.5714285714285714,7,2,47,0,0.4936241610738255,0.5625,1.0670355438538752,0.538256826086121,4.707898917060592,0.006568478633536712,0.6653110820666424
CHA,4,2,CHA,EA,0,0.6470588235294118,1.178628389154705,1.1540483701366981,0.7647058823529411,0.29411764705882354,-36,0.5,8,11,91,0,0.4785809906291834,0.5294117647058824,1.0060006098623455,0.5178454638886294,1.587260800798368,0.003115688665040972,0.5346251949542571
CHA,5,5,CHA,EA,0,-2.235294117647059,1.1995412844036697,1.1221532091097308,0.5882352941176471,0.35294117647058826,-124,0.4,-90,20,53,0,0.4822771213748657,0.47058823529411764,0.9786969669750591,0.5220602914753444,4.900992271052817,-0.022492702164392586,0.37839366031135746
CHA,6,6,CHA,EA,0,-7.0588235294117645,1.0951385258755881,1.2367584745762712,0.29411764705882354,0.058823529411764705,-130,0.2,-3,-33,73,0,0.46617336152219874,0.17647058823529413,0.9068095815881037,0.47884400885004297,-9.571402560223145,-0.02684067471369911,0.18113813671713824
CHA,7,6,CHA,EA,0,-3.3823529411764706,1.1276400367309458,1.19637040483946,0.4117647058823529,0.23529411764705882,-146,0.3,5,30,27,0,0.4549871391826236,0.3235294117647059,0.9313597002174587,0.4873247932441227,-5.329841133044051,-0.025033910793629155,0.3460303695324227
CHI,7,7,CHI,EA,0,-10.735294117647058,1.0675862068965518,1.2515137401024685,0.17647058823529413,0.11764705882352941,-202,0.2,-114,5,90,0,0.4364937388193202,0.14705882352941177,0.9204047307376176,0.4723506053899232,-13.644635920787616,-0.045042864812997574,0.11600577362851566
CHI,8,6,CHI,EA,1,-2.5294117647058822,1.108915239350022,1.164065983058404,0.35294117647058826,0.47058823529411764,-60,0.3,13,-26,-49,0,0.45146726862302483,0.4117647058823529,0.9662352627119061,0.48649002743611086,-4.231372683636323,-0.029109352290984436,0.3855925945331849
CHI,9,5,CHI,EA,0,-1.1176470588235294,1.177142857142857,1.1393554244212438,0.47058823529411764,0.23529411764705882,-33,0.5,17,25,-42,0,0.4835536427912696,0.35294117647058826,0.9808477571916138,0.5029951816642791,2.812707999191312,-0.010678144789897814,0.4471481676390899
CHI,10,5,CHI,EA,0,-3.5294117647058822,1.2045880149812733,1.1868664609960335,0.7058823529411765,0.23529411764705882,-73,0.45454545454545453,-78,17,-31,0,0.49787878787878787,0.47058823529411764,1.0053596256951947,0.5270553725644429,1.3346556812021582,-0.01041114077526395,0.3465897387218057
CLE,1,2,CLE,EA,1,1.96875,1.1952954048140043,1.2049971607041454,0.8125,0.25,61,0.6190476190476191,-1,-4,-46,0,0.4905525846702317,0.53125,0.9957308892583195,0.5255435828362517,-0.6662661454042624,0.003205831939400272,0.6003591824707795
CLE,2,1,CLE,EA,0,6.75,1.1322033898305084,1.0246418338108882,0.875,0.5,68,0.7142857142857143,69,-44,-65,1,0.4754789272030651,0.6875,0.9758320867614063,0.5029615500451762,6.903128566849589,0.02741085014144584,0.8301091202241807
CLE,3,7,CLE,EA,0,-2.15625,1.1379120879120879,1.1668484187568158,0.25,0.375,51,0.3333333333333333,-50,-26,-46,0,0.4772479068074263,0.3125,0.9720507482772501,0.5018610782622182,-1.923930339736607,0.003910252950295234,0.3879613363147159
CLE,4,4,CLE,EA,0,0.5588235294117647,1.128607594936709,1.1468604047742605,0.6470588235294118,0.35294117647058826,65,0.5416666666666666,7,-49,-20,0,0.46467302004600725,0.5,0.9776645108045744,0.4935958758503401,-1.2204043396326278,-0.006207534235327383,0.5297341479821432
CON,4,3,CON,EA,0,-0.7352941176470589,1.1341579448144625,1.1449619771863118,0.5882352941176471,0.47058823529411764,-83,0.4583333333333333,-33,23,-6,0,0.46102517440097057,0.5294117647058824,0.9984293165650816,0.49953064234947037,-0.7622349065475459,-0.008176547454462835,0.46378633121941865
CON,5,1,CON,EA,1,0.9117647058823529,1.1384690394929302,1.154308617234469,0.5882352941176471,0.47058823529411764,-18,0.7,7,-17,-17,0,0.4694337194337194,0.5294117647058824,0.9921241910045142,0.5052800138492167,-1.095091009874174,-0.0038000145119497786,0.5463439009268891
CON,6,1,CON,EA,1,6.764705882352941,1.2217283950617284,1.0685714285714285,0.8235294117647058,0.7058823529411765,32,0.65,78,51,-51,0,0.5048606610499028,0.7647058823529411,1.04856669324957,0.5314213049679514,10.6235726162465,0.01707481545608658,0.7953182707369018
